year,performance,specimen_type,join_key,haul_join,port_join,species,fmp_gear,fmp_area,fmp_subarea,age,length,weight,gear_type,haul_seq
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,10,36,0.85,1,NA
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,9,37,0.85,1,NA
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,47,37,0.9,1,NA
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,10,38,0.95,1,NA
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,15,38,0.95,1,NA
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,23,39,1,1,NA
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,44,40,1,1,NA
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,10,41,1.25,1,NA
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,38,41,1.3,1,NA
1987,1,1,895091,895091,NA,301,TRW,GOA,SE,24,42,1.15,1,NA
1987,1,1,895091,895091,NA,301,TRW,GOA,SE,35,43,1,1,NA
1987,1,1,895091,895091,NA,301,TRW,GOA,SE,18,47,1.3,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,39,36,0.65,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,59,37,0.65,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,37,37,0.65,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,45,37,0.7,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,11,37,0.7,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,32,37,0.75,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,20,38,0.65,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,12,38,0.7,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,60,38,0.75,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,36,38,0.75,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,35,38,0.8,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,48,38,0.9,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,68,39,0.7,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,51,39,0.7,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,42,39,0.7,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,61,39,0.75,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,63,39,0.95,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,54,40,0.65,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,61,40,0.7,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,37,40,0.8,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,64,40,0.85,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,28,41,0.85,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,44,41,0.85,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,55,41,0.9,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,58,41,0.95,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,35,41,0.95,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,58,41,1,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,42,41,1.1,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,45,42,1,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,44,42,1,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,32,46,1.05,1,NA
1987,1,1,895007,895007,NA,301,TRW,GOA,SE,26,48,1.4,1,NA
1987,NA,1,895152,895152,NA,301,TRW,GOA,SE,7,34,0.65,1,NA
1987,NA,1,895152,895152,NA,301,TRW,GOA,SE,7,34,0.65,1,NA
1987,NA,1,895152,895152,NA,301,TRW,GOA,SE,7,34,0.65,1,NA
1987,NA,1,895152,895152,NA,301,TRW,GOA,SE,10,34,0.7,1,NA
1987,NA,1,895152,895152,NA,301,TRW,GOA,SE,8,35,0.75,1,NA
1987,NA,1,895152,895152,NA,301,TRW,GOA,SE,11,39,0.85,1,NA
1987,NA,1,895152,895152,NA,301,TRW,GOA,SE,22,39,0.9,1,NA
1987,NA,1,895152,895152,NA,301,TRW,GOA,SE,42,39,0.9,1,NA
1987,NA,1,895152,895152,NA,301,TRW,GOA,SE,34,39,0.9,1,NA
1987,NA,1,895152,895152,NA,301,TRW,GOA,SE,7,30,0.5,1,NA
1987,NA,1,895152,895152,NA,301,TRW,GOA,SE,7,31,0.55,1,NA
1987,NA,1,895152,895152,NA,301,TRW,GOA,SE,7,32,0.5,1,NA
1987,NA,1,895152,895152,NA,301,TRW,GOA,SE,7,32,0.55,1,NA
1987,NA,1,895189,895189,NA,301,TRW,GOA,SE,6,29,0.45,1,NA
1987,NA,1,895189,895189,NA,301,TRW,GOA,SE,6,29,0.45,1,NA
1987,NA,1,895189,895189,NA,301,TRW,GOA,SE,6,30,0.5,1,NA
1987,NA,1,895189,895189,NA,301,TRW,GOA,SE,18,41,1.1,1,NA
1987,1,1,895042,895042,NA,301,TRW,GOA,SE,25,44,1.15,1,NA
1987,1,1,895042,895042,NA,301,TRW,GOA,SE,58,45,1.05,1,NA
1987,1,1,895049,895049,NA,301,TRW,GOA,SE,6,21,0.15,1,NA
1987,1,1,895049,895049,NA,301,TRW,GOA,SE,7,31,0.45,1,NA
1987,1,1,895049,895049,NA,301,TRW,GOA,SE,7,34,0.55,1,NA
1987,1,1,895049,895049,NA,301,TRW,GOA,SE,7,34,0.55,1,NA
1987,1,1,895049,895049,NA,301,TRW,GOA,SE,8,34,0.6,1,NA
1987,1,1,895049,895049,NA,301,TRW,GOA,SE,10,37,0.8,1,NA
1987,1,1,895038,895038,NA,301,TRW,GOA,SE,7,30,0.46,1,NA
1987,1,1,895038,895038,NA,301,TRW,GOA,SE,8,32,0.45,1,NA
1987,1,1,895038,895038,NA,301,TRW,GOA,SE,10,35,0.65,1,NA
1987,1,1,895038,895038,NA,301,TRW,GOA,SE,9,36,0.55,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,7,34,0.55,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,32,35,0.6,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,26,36,0.65,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,46,43,1.2,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,45,48,1.45,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,49,36,0.7,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,32,38,0.65,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,48,38,0.8,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,44,38,0.85,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,46,39,0.85,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,17,39,0.85,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,50,39,0.85,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,45,40,0.8,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,46,40,0.8,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,54,40,0.9,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,33,40,0.95,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,35,40,1.1,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,33,42,0.9,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,33,42,1.15,1,NA
1987,1,1,895009,895009,NA,301,TRW,GOA,SE,62,43,1,1,NA
1987,NA,1,895173,895173,NA,301,TRW,GOA,SE,5,26,0.35,1,NA
1987,NA,1,895173,895173,NA,301,TRW,GOA,SE,20,42,1.1,1,NA
1987,NA,1,895173,895173,NA,301,TRW,GOA,SE,31,43,1.35,1,NA
1987,NA,1,895173,895173,NA,301,TRW,GOA,SE,38,44,1.4,1,NA
1987,NA,1,895173,895173,NA,301,TRW,GOA,SE,46,44,1.5,1,NA
1987,NA,1,895173,895173,NA,301,TRW,GOA,SE,34,44,1.5,1,NA
1987,NA,1,895173,895173,NA,301,TRW,GOA,SE,35,46,1.65,1,NA
1987,NA,1,895173,895173,NA,301,TRW,GOA,SE,35,46,1.8,1,NA
1987,NA,1,895173,895173,NA,301,TRW,GOA,SE,33,47,1.6,1,NA
1987,1,1,895032,895032,NA,301,TRW,GOA,SE,6,23,0.15,1,NA
1987,1,1,895021,895021,NA,301,TRW,GOA,SE,7,34,0.5,1,NA
1987,1,1,895021,895021,NA,301,TRW,GOA,SE,7,35,0.6,1,NA
1987,1,1,895021,895021,NA,301,TRW,GOA,SE,7,35,0.65,1,NA
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,7,31,0.55,1,NA
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,7,32,0.55,1,NA
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,7,32,0.55,1,NA
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,6,32,0.6,1,NA
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,7,32,0.6,1,NA
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,7,32,0.6,1,NA
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,7,34,0.7,1,NA
1987,NA,1,895157,895157,NA,301,TRW,GOA,SE,9,35,0.7,1,NA
