survey,survey_year,species_code,sex,age,agepop,mean_length,standard_deviation
GOA,1984,30060,1,0,135277.41666666666,290,0
GOA,1984,30060,1,1,5760,110,0
GOA,1984,30060,1,2,533422,163.18813247297638,7.802547678797196
GOA,1984,30060,1,3,600202,195.2284064364997,4.994780325476222
GOA,1984,30060,1,4,10322909.554761905,241.89447306646468,20.364034827849633
GOA,1984,30060,1,5,4412630.540492611,261.83241162104423,37.85611666906652
GOA,1984,30060,1,6,10139185.057827039,289.6974087347233,27.189336499399648
GOA,1984,30060,1,7,21860230.00653101,321.8291994543906,25.493109009952708
GOA,1984,30060,1,8,53348882.607867315,336.45026709299145,14.202190172451607
GOA,1984,30060,1,9,6602191.954965307,349.02435149621385,14.994704098430931
GOA,1984,30060,1,10,3769897.356641307,349.5847270056043,11.032243377451623
GOA,1984,30060,1,11,2241311.244776671,344.71904079083725,17.98081680564104
GOA,1984,30060,1,12,3069556.732000281,357.4788099613374,13.537478626314941
GOA,1984,30060,1,13,2615794.526332929,361.5841342361334,18.015622044210485
GOA,1984,30060,1,14,3403367.909696382,363.0851017149687,15.197277688592415
GOA,1984,30060,1,15,922381.4677894067,370.75250726322537,16.259406261024164
GOA,1984,30060,1,16,277201.0044967139,386.44558726816337,4.786468160363059
GOA,1984,30060,1,17,2257104.0874798335,350.19063465273473,24.6266856685329
GOA,1984,30060,1,18,1187291.1579315725,351.0900152005054,24.231479520264518
GOA,1984,30060,1,19,89336.16326530611,389.99999999999994,8.003169595457804e-6
GOA,1984,30060,1,21,778163.734906793,371.921877328041,18.53648629631865
GOA,1984,30060,1,22,916814.4173418973,360.53273238130663,15.458537062484593
GOA,1984,30060,1,23,298444.6481818182,396.7383323796059,25.39145650881057
GOA,1984,30060,1,24,358086.92818792956,392.00212304183276,8.428720282305148
GOA,1984,30060,1,25,178672.32653061222,389.99999999999994,8.003169595457804e-6
GOA,1984,30060,1,26,361313.11636363633,380.10344500288227,17.379821609816258
GOA,1984,30060,1,27,187864.8412314078,384.7553423344,4.9940106754726665
GOA,1984,30060,1,28,602017.5806446337,385.27285512175393,12.678325677935591
GOA,1984,30060,1,29,89336.16326530611,389.99999999999994,8.003169595457804e-6
GOA,1984,30060,1,30,982501.6754090561,378.22860351807276,15.951766272629998
GOA,1984,30060,1,31,322890.059413226,378.5849965465168,8.214812487143082
GOA,1984,30060,1,32,990218.8679031216,391.975553305354,16.55372178872968
GOA,1984,30060,1,33,465065.8457281217,385.7628074015265,4.941469909667024
GOA,1984,30060,1,34,272975.8847096687,389.5084681380513,8.187285032426603
GOA,1984,30060,1,35,521873.9320801233,382.6589337632767,13.273683690564496
GOA,1984,30060,1,36,226287.8981818182,386.13213622704154,19.622426706038446
GOA,1984,30060,1,37,176373.72347826086,405.17439209198585,4.996957814331529
GOA,1984,30060,1,38,689214.2445631024,373.62494601609467,13.561963803404975
GOA,1984,30060,1,39,587415.7045488041,386.3948076256538,12.48845586398812
GOA,1984,30060,1,40,313697.5447124304,381.3913755171021,9.902730642123913
GOA,1984,30060,1,41,897023.0580386015,386.4806273602825,21.773947245482287
GOA,1984,30060,1,42,680385.5063697477,393.0082606215241,16.180250469517134
GOA,1984,30060,1,43,1149895.866798665,388.8790955338386,12.581063536888095
GOA,1984,30060,1,44,1442095.9468709189,388.4783421965216,20.611334209711615
GOA,1984,30060,1,45,996485.6192152558,393.3940826089459,9.930020800708547
GOA,1984,30060,1,46,170222.08695652173,400,0
GOA,1984,30060,1,47,1242619.9368620457,388.213490529285,22.34838877707676
GOA,1984,30060,1,48,224361.3814471243,377.96359540033944,9.790457410482512
GOA,1984,30060,1,49,286393.5191975095,383.1193500298341,4.6328345200075045
GOA,1984,30060,1,50,183639.72144436254,389.2693500958122,9.973271816083814
GOA,1984,30060,1,51,530818.9239130435,407.1728697461127,9.592045377684913
GOA,1984,30060,1,52,278827.09644436254,399.7603315453405,16.668649912598138
GOA,1984,30060,1,53,95187.375,420,0
GOA,1984,30060,1,54,91262.68000000001,410,0
GOA,1984,30060,1,55,85111.04347826086,400,0
GOA,1984,30060,1,56,584625.1847671841,378.7545096713282,25.81478751900774
GOA,1984,30060,1,57,91262.68000000001,410,0
GOA,1984,30060,1,58,85111.04347826086,400,0
GOA,1984,30060,1,59,453982.52347826085,353.0905352108345,41.6315201256057
GOA,1984,30060,1,60,85111.04347826086,400,0
GOA,1984,30060,1,61,89336.16326530611,389.99999999999994,8.003169595457804e-6
GOA,1984,30060,1,65,95187.375,420,0
GOA,1984,30060,1,66,233553.89614791988,374.2186698484233,4.93857501656378
GOA,1984,30060,1,67,85111.04347826086,400,0
GOA,1984,30060,1,72,98528.67796610169,379.99999999999994,4.399807882136808e-6
GOA,1984,30060,1,73,91262.68000000001,410,0
GOA,1984,30060,1,-9,189980,223.5969049373618,132.50175421435594
GOA,1984,30060,2,2,457652.5,177.4397823676261,20.74771551204639
GOA,1984,30060,2,3,121183,180,0
GOA,1984,30060,2,4,8238599.117561728,240.79014891893584,20.231272797035757
GOA,1984,30060,2,5,4727757.573730355,269.7467064326063,21.81800659599211
GOA,1984,30060,2,6,15173125.261480737,312.00688720816845,25.393558916773536
GOA,1984,30060,2,7,26452050.35260655,324.6891297843593,25.6866006313516
GOA,1984,30060,2,8,74279690.1768486,337.95744128273213,18.412547997937132
GOA,1984,30060,2,9,9400134.755144922,353.01207121330293,14.67203025447335
GOA,1984,30060,2,10,4417768.835339402,359.286144728732,18.44795585987873
GOA,1984,30060,2,11,1078237.9741626794,343.9968520304715,4.898335855295392
GOA,1984,30060,2,12,1966637.3874601275,372.2305017381521,18.15308395800879
GOA,1984,30060,2,13,2199623.943596491,364.3360316023025,17.486627027173764
GOA,1984,30060,2,14,2666426.859090909,366.7642287498732,17.753684594651332
GOA,1984,30060,2,15,675802.6307620492,368.1361592212876,27.583358010023368
GOA,1984,30060,2,16,546513.5833333333,380,0
