survey,year,species_code,summary_area,length,males,females,unsexed,total
GOA,1984,30060,999,370,7426387,8182967,10855162,26464516
GOA,1984,30060,999,400,3915108,4901957,1359802,10176868
GOA,1984,30060,999,430,288627,1382529,361975,2033131
GOA,1984,30060,999,290,3246658,3860927,3466510,10574094
GOA,1984,30060,999,260,2548305,2710559,2988553,8247416
GOA,1984,30060,999,110,5760,0,254466,260225
GOA,1984,30060,999,510,0,0,1299,1299
GOA,1984,30060,999,490,0,0,13540,13540
GOA,1984,30060,999,220,1234527,819471,1749696,3803693
GOA,1984,30060,999,350,17972894,23702567,23988455,65663915
GOA,1984,30060,999,270,1925414,2213316,1833344,5972075
GOA,1984,30060,999,160,258909,59370,167890,486170
GOA,1984,30060,999,480,0,6204,104313,110517
GOA,1984,30060,999,500,0,4043,11691,15734
GOA,1984,30060,999,380,5813192,6558163,6751691,19123046
GOA,1984,30060,999,50,0,0,18619,18619
GOA,1984,30060,999,170,239696,142606,147344,529646
GOA,1984,30060,999,210,553093,353175,835255,1741523
GOA,1984,30060,999,440,18137,598361,145510,762008
GOA,1984,30060,999,130,31414,0,1101891,1133305
GOA,2003,30060,999,330,22411308,15173681,0,37584989
GOA,2003,30060,999,350,41577281,25406108,0,66983389
GOA,2003,30060,999,420,2389893,15081998,0,17471892
GOA,2003,30060,999,290,7586373,7064635,26002,14677010
GOA,2003,30060,999,450,289152,4189626,0,4478778
GOA,2003,30060,999,360,45140838,31739448,0,76880286
GOA,2003,30060,999,300,8423273,7980787,0,16404060
GOA,2003,30060,999,430,1321076,10260736,0,11581812
GOA,2003,30060,999,480,0,377740,0,377740
GOA,2003,30060,999,620,0,47742,0,47742
GOA,2003,30060,999,410,7738273,23984094,0,31722367
GOA,2003,30060,999,230,6277846,8153963,1040064,15471872
GOA,2003,30060,999,190,6092551,4133960,491276,10717788
GOA,2003,30060,999,500,11895,54140,0,66035
GOA,2003,30060,999,490,43252,0,0,43252
GOA,2003,30060,999,220,9443030,8761096,1131694,19335821
GOA,2003,30060,999,340,28968926,20673397,0,49642323
GOA,2003,30060,999,440,750183,5791257,0,6541440
GOA,2003,30060,999,470,101427,733589,0,835016
GOA,2003,30060,999,250,5069423,4815702,183443,10068569
GOA,2003,30060,999,280,7487056,9171005,0,16658060
GOA,2003,30060,999,580,0,7439,0,7439
GOA,2003,30060,999,380,35591337,30779987,0,66371324
GOA,2003,30060,999,140,866144,795404,826511,2488059
GOA,2003,30060,999,200,6502438,5704997,813099,13020534
GOA,2003,30060,999,460,66797,1206488,0,1273285
GOA,2003,30060,999,130,247535,209919,268892,726346
GOA,2003,30060,999,180,3037009,2698803,259458,5995269
GOA,2003,30060,999,530,161800,0,0,161800
GOA,2003,30060,999,160,1854050,1194923,656869,3705841
GOA,2003,30060,999,210,4872590,3774041,988492,9635123
GOA,2003,30060,999,270,10338660,8509839,26002,18874500
GOA,2003,30060,999,90,26435,0,175862,202297
GOA,2003,30060,999,240,6516858,7032939,338021,13887818
GOA,2003,30060,999,370,40024708,35353998,0,75378706
GOA,2003,30060,999,310,8138762,7894638,0,16033399
GOA,2003,30060,999,400,17185229,28021372,0,45206602
GOA,2003,30060,999,390,28268456,27720171,0,55988627
GOA,2003,30060,999,80,0,0,43239,43239
GOA,2003,30060,999,510,11049,0,0,11049
GOA,2003,30060,999,260,7370777,4930787,179015,12480578
GOA,2003,30060,999,110,19022,77637,1374930,1471589
GOA,2021,30060,999,100,123912,35023,10756,169690
GOA,2021,30060,999,240,13144388,10991404,0,24135792
GOA,2021,30060,999,420,15540928,59322119,0,74863046
GOA,2021,30060,999,140,345205,233400,0,578605
GOA,2021,30060,999,290,5763508,5070544,0,10834053
GOA,2021,30060,999,190,4944817,2769709,0,7714525
GOA,2021,30060,999,410,49896856,93490844,0,143387701
GOA,2021,30060,999,430,3398938,37067523,0,40466461
GOA,2021,30060,999,250,11234327,9514860,0,20749187
GOA,2021,30060,999,450,328507,3564663,0,3893170
GOA,2021,30060,999,110,135810,0,0,135810
GOA,2021,30060,999,460,26111,1670780,0,1696891
GOA,2021,30060,999,340,90961817,74283803,0,165245620
GOA,2021,30060,999,120,0,30123,0,30123
GOA,2021,30060,999,90,36300,31882,0,68182
GOA,2021,30060,999,490,0,135730,0,135730
GOA,2021,30060,999,300,7699276,7667891,0,15367167
GOA,2021,30060,999,480,65063,63573,0,128636
GOA,2021,30060,999,160,318583,430143,16144,764870
GOA,2021,30060,999,350,140063206,88051954,0,228115159
GOA,2021,30060,999,260,8737203,9638276,0,18375479
GOA,2021,30060,999,320,26392724,21147092,0,47539816
GOA,2021,30060,999,360,145880329,150675622,0,296555951
GOA,2021,30060,999,170,1972943,1065567,0,3038510
GOA,2021,30060,999,200,6877297,5706295,0,12583592
GOA,2021,30060,999,150,477490,353067,0,830557
GOA,2021,30060,999,330,51458687,37717153,0,89175841
