"year","age","value","groups","Age","Year"
1990,2,0,"obs","2","1990"
1998,2,0,"obs","2","1998"
1999,2,0,"obs","2","1999"
2000,2,0,"obs","2","2000"
2001,2,0,"obs","2","2001"
2002,2,0,"obs","2","2002"
2004,2,0,"obs","2","2004"
2005,2,0,"obs","2","2005"
2006,2,0,"obs","2","2006"
2008,2,0,"obs","2","2008"
2010,2,0,"obs","2","2010"
2012,2,0,"obs","2","2012"
2014,2,0,"obs","2","2014"
2016,2,0,"obs","2","2016"
2018,2,0,"obs","2","2018"
2020,2,0,"obs","2","2020"
2022,2,0,"obs","2","2022"
1990,3,0.000803166,"obs","3","1990"
1998,3,0,"obs","3","1998"
1999,3,0,"obs","3","1999"
2000,3,0,"obs","3","2000"
2001,3,0.00190799,"obs","3","2001"
2002,3,0,"obs","3","2002"
2004,3,0,"obs","3","2004"
2005,3,0.00153509,"obs","3","2005"
2006,3,0,"obs","3","2006"
2008,3,0,"obs","3","2008"
2010,3,0,"obs","3","2010"
2012,3,0,"obs","3","2012"
2014,3,0,"obs","3","2014"
2016,3,0.000451671,"obs","3","2016"
2018,3,0,"obs","3","2018"
2020,3,0.00223549,"obs","3","2020"
2022,3,0,"obs","3","2022"
1990,4,0.00451396,"obs","4","1990"
1998,4,0,"obs","4","1998"
1999,4,0,"obs","4","1999"
2000,4,0.0045789,"obs","4","2000"
2001,4,0.00275599,"obs","4","2001"
2002,4,0.00206528,"obs","4","2002"
2004,4,0.00178071,"obs","4","2004"
2005,4,0.00175439,"obs","4","2005"
2006,4,0.00154172,"obs","4","2006"
2008,4,0.00153846,"obs","4","2008"
2010,4,0.0133784,"obs","4","2010"
2012,4,0.0218097,"obs","4","2012"
2014,4,0.0135045,"obs","4","2014"
2016,4,0.00452508,"obs","4","2016"
2018,4,0.00729775,"obs","4","2018"
2020,4,0.00297909,"obs","4","2020"
2022,4,0.000679092,"obs","4","2022"
1990,5,0.0256848,"obs","5","1990"
1998,5,0,"obs","5","1998"
1999,5,0.00242879,"obs","5","1999"
2000,5,0.0118016,"obs","5","2000"
2001,5,0.00296799,"obs","5","2001"
2002,5,0.0234905,"obs","5","2002"
2004,5,0.0068006,"obs","5","2004"
2005,5,0.0107611,"obs","5","2005"
2006,5,0.00135971,"obs","5","2006"
2008,5,0.00333333,"obs","5","2008"
2010,5,0.00837838,"obs","5","2010"
2012,5,0.0299543,"obs","5","2012"
2014,5,0.00373651,"obs","5","2014"
2016,5,0.00425575,"obs","5","2016"
2018,5,0.0102448,"obs","5","2018"
2020,5,0.00610522,"obs","5","2020"
