
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2024  0 25.3018 27.0643 29.794 29.794 29.794 29.794 3.62377e-13 
2025  0 25.3018 27.0643 16.1515 16.1515 16.1515 16.1515 4.53472e-10 
2026  0 25.3018 27.0643 39.5204 39.5262 39.5277 39.5399 0.00651598 
2027  0 25.3018 27.0643 37.3924 37.4277 37.4343 37.5031 0.0362439 
2028  0 25.3018 27.0643 35.298 35.4131 35.4338 35.6542 0.113983 
2029  0 25.3018 27.0643 33.2784 33.5469 33.5905 34.0836 0.259327 
2030  0 25.3018 27.0643 31.3277 31.8575 31.9303 32.8126 0.478169 
2031  0 25.3018 27.0643 29.5584 30.3716 30.5062 31.923 0.761038 
2032  0 25.3018 27.0643 27.9152 29.1117 29.3175 31.3361 1.08633 
2033  0 25.3018 27.0643 26.4578 28.1731 28.3743 30.9771 1.42625 
2034  0 25.3018 27.0643 25.2525 27.4651 27.6416 30.8385 1.75354 
2035  0 25.3018 27.0643 24.2785 26.8789 27.0974 30.8882 2.05259 
2036  0 25.3018 27.0643 23.2849 26.4223 26.6776 30.6995 2.36147 
2037  0 25.3018 27.0643 22.0447 26.0875 26.3554 30.6777 2.67221 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2024 343.618 137.447 120.266 234.441 234.441 234.441 234.441 8.81073e-13 
2025 343.618 137.447 120.266 230.583 230.591 230.593 230.612 0.00954066 
2026 343.618 137.447 120.266 226.795 226.833 226.84 226.912 0.038471 
2027 343.618 137.447 120.266 216.177 216.297 216.318 216.547 0.118354 
2028 343.618 137.447 120.266 205.649 205.962 206.016 206.606 0.308525 
2029 343.618 137.447 120.266 194.857 195.604 195.725 197.082 0.711636 
2030 343.618 137.447 120.266 184.008 185.573 185.806 188.662 1.4743 
2031 343.618 137.447 120.266 173.428 176.419 176.859 181.938 2.73865 
2032 343.618 137.447 120.266 163.661 168.615 169.404 178.099 4.52364 
2033 343.618 137.447 120.266 155.024 162.364 163.566 175.819 6.62995 
2034 343.618 137.447 120.266 147.415 157.972 159.179 174.959 8.73214 
2035 343.618 137.447 120.266 141.386 154.864 155.896 174.843 10.5795 
2036 343.618 137.447 120.266 136.572 151.989 153.419 174.686 12.0629 
2037 343.618 137.447 120.266 133.09 149.632 151.506 174.524 13.1748 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2024  0 0.0990105 0.119243 0.0713322 0.0713322 0.0713322 0.0713322 5.55112e-17 
2025  0 0.0990105 0.119243 0.039302 0.0393027 0.0393026 0.039303 3.06623e-07 
2026  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2027  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2028  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2029  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2030  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2031  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2032  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2033  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2034  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2035  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990004 0.0990105 0.000117606 
2036  0 0.0990105 0.119243 0.0983471 0.0990105 0.0988642 0.0990105 0.000723913 
2037  0 0.0990105 0.119243 0.0957067 0.0990105 0.0985733 0.0990105 0.00142317 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2024 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 2.04636e-12 
2025 1785.64 465.616 428.615 647.344 649.856 650.615 656.326 2.97097 
2026 1785.64 465.616 428.615 636.755 643.645 644.643 656.953 6.51087 
2027 1785.64 465.616 428.615 601.88 613.595 615.662 635.66 11.0294 
2028 1785.64 465.616 428.615 570.501 587.516 590.682 621.05 16.25 
2029 1785.64 465.616 428.615 541.162 566.451 569.466 608.734 21.7166 
2030 1785.64 465.616 428.615 515.913 549.616 551.836 600.444 27.0656 
2031 1785.64 465.616 428.615 493.382 534.218 537.558 594.924 31.9416 
2032 1785.64 465.616 428.615 475.433 521.909 526.195 590.878 36.3116 
2033 1785.64 465.616 428.615 459.904 511.861 517.152 585.925 39.9879 
2034 1785.64 465.616 428.615 447.758 504.842 509.984 583.064 43.2514 
2035 1785.64 465.616 428.615 437.229 498.474 504.278 580.312 46.0659 
2036 1785.64 465.616 428.615 427.517 495.078 499.729 578.539 48.6161 
2037 1785.64 465.616 428.615 422.747 491.864 495.963 574.976 50.7668 
Alternative 2 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2024  0 25.3018 27.0643 29.794 29.794 29.794 29.794 3.62377e-13 
2025  0 25.3018 27.0643 16.1515 16.1515 16.1515 16.1515 4.53472e-10 
2026  0 25.3018 27.0643 39.5204 39.5262 39.5277 39.5399 0.00651598 
2027  0 25.3018 27.0643 37.3924 37.4277 37.4343 37.5031 0.0362439 
2028  0 25.3018 27.0643 35.298 35.4131 35.4338 35.6542 0.113983 
2029  0 25.3018 27.0643 33.2784 33.5469 33.5905 34.0836 0.259327 
2030  0 25.3018 27.0643 31.3277 31.8575 31.9303 32.8126 0.478169 
2031  0 25.3018 27.0643 29.5584 30.3716 30.5062 31.923 0.761038 
2032  0 25.3018 27.0643 27.9152 29.1117 29.3175 31.3361 1.08633 
2033  0 25.3018 27.0643 26.4578 28.1731 28.3743 30.9771 1.42625 
2034  0 25.3018 27.0643 25.2525 27.4651 27.6416 30.8385 1.75354 
2035  0 25.3018 27.0643 24.2785 26.8789 27.0974 30.8882 2.05259 
2036  0 25.3018 27.0643 23.2849 26.4223 26.6776 30.6995 2.36147 
2037  0 25.3018 27.0643 22.0447 26.0875 26.3554 30.6777 2.67221 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
