year,maxf,authf,half_maxf,avg5f,nof,overf,appoverf
2023,234446,234446,234446,234446,234446,234446,234446
2024,229395,229395,229395,229395,229395,225829,227028
2025,223416,224627,226323,225475,229271,212405,216818
2026,213202,217806,224211,220952,235832,200060,206107
2027,203208,209720,221496,216009,241581,188388,193788
2028,193227,199127,217932,210419,246132,177149,181922
2029,183617,188906,213847,204535,249684,166658,170837
2030,174980,179677,209872,198991,252782,157462,161091
2031,167841,171981,206635,194393,256060,150003,153134
2032,162329,165957,204399,190977,259829,144339,147023
2033,158261,161427,203124,188665,264128,140274,142539
2034,155256,158011,202537,187156,268739,137466,139333
2035,152981,155371,202377,186168,273451,135524,137047
2036,151183,153249,202423,185469,278060,134124,135359
