year,maxf,authf,half_maxf,avg5f,nof,overf,appoverf
2023,29760.5,29760.5,29760.5,29760.5,29760.5,29760.5,29760.5
2024,24234.4,24234.4,24234.4,24234.4,24234.4,47521.1,39764.7
2025,38930.799999999996,31034,19840.3,25459.7,0,44471.3,37783.8
2026,36892.6,29414,19520.7,24777.4,0,41606,42857.700000000004
2027,34939.2,36057,19159.9,24066.9,0,38946,40046.799999999996
2028,33133.1,34131.9,18789.5,23370.5,0,36552.100000000006,37510
2029,31509.699999999997,32392.200000000004,18428.899999999998,22713.8,0,34455.3,35279.7
2030,30107.1,30878.399999999998,18100.2,22124.9,0,32685.1,33388.2
2031,28934.6,29604.5,17818,21622.6,0,31247,31840.699999999997
2032,27976.3,28548.5,17587.9,21209.6,0,30103,30601.1
2033,27331.2,27818.100000000002,17437.7,20932.9,0,29344.899999999998,29761.7
2034,26772.8,27184,17331.2,20703.2,0,28460.899999999998,28980.6
2035,26390.3,26738.5,17271,20558.3,0,27530.6,28117.8
2036,26134.3,26425.6,17230.3,20454,0,27062.8,27486
