
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 25.3018 27.0643 29.7605 29.7605 29.7605 29.7605 5.43565e-13 
2024  0 25.3018 27.0643 23.8313 23.8313 23.8313 23.8313 1.85963e-10 
2025  0 25.3018 27.0643 38.9547 38.9606 38.962 38.9736 0.00636049 
2026  0 25.3018 27.0643 36.8847 36.9194 36.9262 36.9901 0.0359257 
2027  0 25.3018 27.0643 34.8442 34.963 34.9836 35.1798 0.115193 
2028  0 25.3018 27.0643 32.8688 33.1541 33.1988 33.6568 0.266752 
2029  0 25.3018 27.0643 30.9673 31.5279 31.5985 32.4487 0.498381 
2030  0 25.3018 27.0643 29.2089 30.1228 30.2354 31.6891 0.799453 
2031  0 25.3018 27.0643 27.6137 28.948 29.1074 31.0855 1.14497 
2032  0 25.3018 27.0643 26.2114 27.9877 28.2209 30.8453 1.50407 
2033  0 25.3018 27.0643 25.0172 27.3408 27.5373 30.8391 1.84743 
2034  0 25.3018 27.0643 23.9142 26.7808 27.0275 30.9194 2.16618 
2035  0 25.3018 27.0643 22.7463 26.397 26.6211 30.8562 2.50175 
2036  0 25.3018 27.0643 21.6114 26.1399 26.3094 30.9686 2.81343 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 343.618 137.447 120.266 234.446 234.446 234.446 234.446 2.24532e-12 
2024 343.618 137.447 120.266 229.445 229.453 229.455 229.473 0.00926822 
2025 343.618 137.447 120.266 223.542 223.581 223.587 223.655 0.0384854 
2026 343.618 137.447 120.266 213.213 213.336 213.358 213.561 0.119788 
2027 343.618 137.447 120.266 202.961 203.294 203.349 203.891 0.314549 
2028 343.618 137.447 120.266 192.448 193.234 193.353 194.62 0.730093 
2029 343.618 137.447 120.266 181.811 183.5 183.728 186.364 1.52123 
2030 343.618 137.447 120.266 171.435 174.698 175.078 179.912 2.84429 
2031 343.618 137.447 120.266 161.862 167.296 167.927 176.219 4.73236 
2032 343.618 137.447 120.266 153.343 161.438 162.404 174.418 6.98334 
2033 343.618 137.447 120.266 145.981 156.948 158.326 174.375 9.2318 
