"year","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1961",168934.4,173669,168921.2,174299.6,179713,183244.6,183400.6,186009.8,186598.6,184992
"1962",184833.4,191107.6,186137,195540.6,196941.2,198299.4,198615.2,201658,202184,200886.4
"1963",200058.8,203285.4,202386.6,208753,212206.4,212549.8,212461.8,214731.8,217514,210864.2
"1964",205897.4,211976.4,210051.6,212286.8,213702.8,210908,214528.4,218958.2,216813.2,209401
"1965",185194,190945.6,188160.4,187821,184400.2,187464.8,188557.8,193182,188686.6,182926
"1966",133926.2,138009.8,134631,134415.2,132503.2,129694.8,135173,134905.6,135553.2,132628.6
"1967",115627.8,119813.4,117912.6,117018,116388.6,114100,117709.2,115724.8,116435,115263.8
"1968",112036.8,112887.2,111290,110113,110188.6,107320.2,109696.8,109272,109475.2,109324.2
"1969",100618.4,101428.8,99207.34,100326.8,98606.06,99269.6,99374.12,99023,100554,97571.14
"1970",95357.74,92653,89866.58,92427.4,91397.94,90775.86,91122.54,92950.9,91280.26,91697.82
"1971",95501.54,91898.18,90021.06,93031.18,92175.62,92176.66,92040.24,93165.34,92162.22,91232.48
"1972",82792.46,80117.88,80043.14,80001.66,82135.8,79500.68,79854,82031.22,81894.56,77719.4
"1973",67990.66,67007.04,68565.4,68741.36,69638.58,69019.84,67135.4,68540.24,69196.54,66547.96
"1974",60646.54,59325.44,61215.78,61711.34,62341.58,61183.7,59870.3,61088.42,62841.54,60651.58
"1975",51982.2,51928.48,53038.84,53097.38,54126.32,52293.12,51186.8,51523.38,54571.5,50902.9
"1976",40341.7,40442.26,41137.54,41332.88,41048.26,41053.54,39999.3,38933.14,40927.38,39643.04
"1977",28237,28442.8,29149.98,28906.28,28375.62,28535.84,28437.48,26614.5,29101.44,27070.46
"1978",23972.76,23805.02,23811.6,24037.78,22839.12,24454.52,23072.94,21869.06,23732.86,23155.74
"1979",23640.56,24162.92,23871.96,23528.16,22582.38,25037.48,23388.12,22564.42,24437.5,23766.88
"1980",23244.9,24355.94,23901.26,22940.3,22551.6,24692.46,23201.6,22734.4,25165.38,23603.14
"1981",21480.82,22619.84,22969.78,21284.02,21832.94,24133.36,22281.46,21640.24,24772.42,22679.34
"1982",20027.2,21480.48,21673.8,19645.14,20700.64,23100.8,21064.3,20797.72,22845.9,21844.92
"1983",20652.78,22374.18,22447.3,20641.26,21729.56,23476.04,21922.26,22920.84,22892.16,23161.18
"1984",22966.92,24418,24060.8,22945.36,24079.1,24960.7,24157.66,25441.44,24640.94,25716.02
"1985",25929.68,26989.74,26336,25608.98,27040.82,27250.42,26684.1,28063.24,27177.08,28544.04
"1986",30062.7,30738.98,29680.38,29158.68,30623.9,30944.38,30208.22,31351.92,31271.86,31788.46
"1987",33542.32,34142.2,32825.68,32130.38,33789.92,34379.58,33651.64,34178.14,34131.76,35404.96
"1988",35841.96,36608.94,35132.6,34026.68,36899.92,36556.46,36001.2,36130.14,36439.62,38217.78
"1989",36558.62,37141.22,36191.98,34806.1,38453.56,37917.06,37338.44,37161.04,37406.44,39459.76
"1990",35992.1,36203.36,35885.04,34892.06,39005.56,38203.9,37156,38143.54,37851.74,40033.36
"1991",35648.5,36492.9,35547.58,34917.66,40096.56,38532.06,37290.32,39225.16,38599.62,40597.34
"1992",39406.66,39289.54,39081.16,38219.38,44323.78,42479.1,41422.08,43174.94,42227.54,45553.7
"1993",43592.08,43390.04,43777.98,43059.62,50007.46,47584.46,47172.46,49031.74,48184.64,52055.8
"1994",50830.86,50584.14,51914.56,50649.02,58928.48,55996.82,55402.02,59113.64,57210.62,60228.6
"1995",59168.12,59170,61291.6,59308.06,68794.92,65981.14,65008.5,70102.44,67672.04,69768.44
"1996",66772.62,66992.66,68442.28,66432.76,77210.94,75006.34,73857.32,79767.82,77189.32,78453
"1997",72350.08,73497.04,74148.96,72368.76,83758.16,82039.44,79831.22,85807.78,84660.74,85396.78
"1998",75996.46,76841.62,77766.26,75624.88,87798.8,86758.06,83974.84,90011.12,90222.76,91298.24
"1999",78889.24,80343.76,79922.26,77982.52,90753.52,90837.02,87201.48,93097.96,94187.04,95626.24
"2000",80444,82219.78,80974.18,78210.36,92900.08,93484.96,88835.46,94490,96629.96,98449.74
"2001",82204.22,82848.08,81554.22,77816.7,94702.06,94837.82,90354.1,95577.46,98998.04,99903.4
"2002",82953.72,83575.16,81399.14,78080.88,96978.7,96023.38,92212.04,97200.84,101499.8,101434.8
"2003",83848.8,85175.78,82306.4,78813.98,99189.64,98850.04,93824.3,101494.6,104590,104236.2
"2004",86366.92,87052.68,85290.38,81145.04,102034.2,102372.6,98960.36,107870.4,108585.2,108862
"2005",89037,90599.54,89335.86,85032.46,106542.6,106058.4,104184.4,114268,114172,114043.8
"2006",92691.32,94601.18,94167.14,90535.48,112154,112898.4,110232.8,123103.4,120086.8,120397.2
"2007",96113.5,98807.82,98821.04,96839.64,117617,120231.2,116434.4,131271.2,126338.2,127879.8
"2008",100465.56,103828.2,105213.6,103271.8,124021.2,126861.6,122833,138977.4,133188.2,136554
"2009",104162.4,108279.2,111780.4,110183.6,131777.6,133714.4,130816.8,146088.4,140946.8,145056.2
"2010",107319,112744.6,115184.4,115372.2,137907.8,139547.2,138325,152549.6,148660.6,152675.4
"2011",107721.6,115539.6,116218.6,118276.6,141018,143277.6,143258.6,157802.4,152806,158477.2
"2012",109058.2,118710.2,117430.6,120977,142408.6,146502.8,148604.8,162102,155418.4,162652.8
"2013",110243,120395.2,119067.4,124329.6,142960.4,150167.2,151789.4,166313.2,157007.8,166947.6
