"age","fish1","fish2","fish3","fish4","srv1"
2,0.000371486,0.000192405,0.0000133797,0.0011391,0.0968162
3,0.00162888,0.0013045,0.000984234,0.0115666,0.152428
4,0.00711199,0.00834663,0.00962152,0.0408496,0.231785
5,0.0304886,0.0357407,0.0411651,0.0936232,0.336075
6,0.121314,0.116418,0.11199,0.16931,0.459239
7,0.377389,0.302615,0.228799,0.263571,0.587592
8,0.72686,0.554435,0.383616,0.369997,0.705048
9,0.921155,0.737697,0.556567,0.481533,0.800415
10,0.980877,0.850441,0.723031,0.591486,0.870607
11,0.995579,0.926432,0.860888,0.694157,0.918624
12,0.99899,0.97512,0.955247,0.785141,0.94985
13,0.99977,0.997792,1,0.861402,0.969493
14,0.999948,0.996338,0.996901,0.9212,0.981592
15,0.999988,0.974641,0.953284,0.963918,0.988949
16,0.999997,0.93788,0.879444,0.989853,0.993387
17,0.999999,0.891535,0.786361,1,0.996051
18,1,0.840612,0.684087,0.995839,0.997645
19,1,0.789194,0.580818,0.979156,0.998598
20,1,0.74027,0.482559,0.951889,0.999167
21,1,0.695775,0.393196,0.916005,0.999507
22,1,0.656744,0.314805,0.873411,0.999709
23,1,0.623511,0.24806,0.825886,0.99983
24,1,0.595922,0.192651,0.77504,0.999902
25,1,0.573514,0.147646,0.72229,0.999945
26,1,0.555658,0.111783,0.66885,0.99997
27,1,0.541668,0.0836857,0.615733,0.999986
28,1,0.530872,0.0620036,0.563763,0.999995
29,1,0.522654,0.0454989,0.513584,1
