"year","tot_biom","sp_biom","F","recruits"
1961,1446380,296411,0.023837,435.199
1962,1569220,307343,0.0929308,339.593
1963,1612920,310213,0.185908,334.743
1964,1551770,301124,0.336005,315.605
1965,1356620,267427,0.54205,370.461
1966,1051190,206281,0.345615,513.249
1967,903460,186677,0.229801,401.464
1968,832808,181293,0.215114,262.249
1969,775163,172714,0.170929,208.941
1970,739379,167455,0.108773,217.151
1971,724998,169811,0.188974,211.317
1972,670189,159939,0.195286,183.164
1973,610886,149870,0.147753,167.191
1974,569815,145714,0.141102,155.933
1975,531219,140698,0.150287,147.921
1976,491442,132789,0.146478,146.096
1977,457064,124363,0.0836585,166.216
1978,450135,123566,0.0308605,219.877
1979,457565,127322,0.031511,183.162
1980,464082,130132,0.0409017,163.918
1981,467533,131140,0.0400201,167.859
1982,472125,131734,0.0205113,200.396
1983,482855,134299,0.0104912,208.271
1984,497660,138121,0.00993562,226.704
1985,517776,142320,0.00280951,319.421
1986,551358,147601,0.00752033,472.005
1987,592908,152496,0.0150524,442.727
1988,650236,156812,0.0280574,659.364
1989,712599,160477,0.0379721,514.369
1990,773635,164822,0.0405218,394.533
1991,824624,171818,0.0188059,226.888
1992,871519,185474,0.0168225,243.939
1993,905826,203535,0.00467617,245.66
1994,934170,226848,0.0036805,277.574
1995,952053,251820,0.0103832,241.928
1996,969093,273924,0.0176294,503.497
1997,989935,290505,0.0189318,544.614
1998,1009060,300622,0.0172205,343.459
1999,1031870,305518,0.0201527,418.288
2000,1072080,306385,0.0197393,818.312
2001,1117170,306720,0.0213754,528.64
2002,1177470,308560,0.0234481,783.813
2003,1234290,313463,0.0215874,452.708
2004,1295160,322797,0.0227256,614.45
2005,1340210,335496,0.0211554,287.844
2006,1375800,351621,0.0242572,412.024
2007,1394180,369661,0.0223728,326.59
2008,1414310,389489,0.0206658,639.14
2009,1430760,409158,0.0206993,495.633
2010,1455180,425752,0.024078,718.534
2011,1467710,436624,0.0213719,318.813
2012,1484980,443239,0.0219291,577.212
2013,1489330,445910,0.0190801,275.005
2014,1497250,447912,0.0252148,566.78
2015,1495120,448606,0.0264512,417.36
2016,1487280,450337,0.0323262,387.242
2017,1465200,450961,0.0336109,254.199
2018,1447130,450524,0.0349753,562.292
2019,1426290,447935,0.0363683,403.748
2020,1400280,443068,0.0363659,294.71
2021,1370070,436813,0.0424746,284.178
2022,1333630,427803,0.0442273,324.628
2023,1295140,395463,0.0467496,324.006
