"weight","value","variable","model"
50,0.0227769,"SSQ Catch Likelihood","2023-09-27-Mprofile_M=0.27"
1,33.4411,"Bottom Trawl Survey Likelihood","2023-09-27-Mprofile_M=0.27"
1,38.3525,"Fishery Age Composition Likelihood","2023-09-27-Mprofile_M=0.27"
1,63.9737,"Bottom Trawl Survey Age Composition Likelihood","2023-09-27-Mprofile_M=0.27"
1,62.3945,"Fishery Size Composition Likelihood","2023-09-27-Mprofile_M=0.27"
0,0,"Fishery CPUE Likelihood","2023-09-27-Mprofile_M=0.27"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-27-Mprofile_M=0.27"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.27"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.27"
1,-64.5793,"Recruitment Deviations Likelihood","2023-09-27-Mprofile_M=0.27"
0.1,7.28742,"Fishing Mortality Deviations Penalty","2023-09-27-Mprofile_M=0.27"
1,29.6431,"Priors SigmaR","2023-09-27-Mprofile_M=0.27"
1,0.355025,"Priors q Bottom Trawl Survey","2023-09-27-Mprofile_M=0.27"
1,0,"Priors M","2023-09-27-Mprofile_M=0.27"
1,0,"Priors q Alternative Survey","2023-09-27-Mprofile_M=0.27"
1,103.628,"Maturity Likelihood","2023-09-27-Mprofile_M=0.27"
1,277.965,"Objective Function","2023-09-27-Mprofile_M=0.27"
1,198.185,"Data Likelihood","2023-09-27-Mprofile_M=0.27"
