Alternative Spp Yr  ABC OFL Catch SSB F Tot_biom
1 Model_1_goa_pop_2023.dat 2023 40.916 48.8962 30.3807 234.352 0.0727775 670.712
1 Model_1_goa_pop_2023.dat 2024 39.7197 47.4672 39.7197 226.788 0.0990105 657.368
1 Model_1_goa_pop_2023.dat 2025 37.7597 45.1258 37.7597 216.665 0.0990105 633.461
1 Model_1_goa_pop_2023.dat 2026 35.9162 42.9237 35.9162 207.23 0.0990105 613.274
1 Model_1_goa_pop_2023.dat 2027 34.2587 40.9446 34.2587 198.229 0.0990105 595.958
1 Model_1_goa_pop_2023.dat 2028 32.8583 39.2735 32.8583 189.63 0.0990105 583.959
1 Model_1_goa_pop_2023.dat 2029 31.7141 37.9092 31.7141 181.995 0.0990105 571.19
1 Model_1_goa_pop_2023.dat 2030 30.8313 36.8571 30.8313 176.043 0.0990105 559.281
1 Model_1_goa_pop_2023.dat 2031 30.1503 36.0456 30.1503 172.023 0.0990105 547.342
1 Model_1_goa_pop_2023.dat 2032 29.6169 35.4091 29.6169 169.319 0.0990105 537.836
1 Model_1_goa_pop_2023.dat 2033 29.147 34.8473 29.147 167.023 0.0990105 533.96
1 Model_1_goa_pop_2023.dat 2034 28.7134 34.3281 28.7134 164.61 0.0990105 530.854
1 Model_1_goa_pop_2023.dat 2035 28.3277 33.8661 28.3277 162.047 0.0990105 528.219
1 Model_1_goa_pop_2023.dat 2036 28.0414 33.5236 28.0414 159.368 0.0990105 524.045
1 Model_1_goa_pop_2023.dat 2023 40.916 48.8962 30.3807 234.352 0.0727775 670.712
1 Model_1_goa_pop_2023.dat 2024 39.7187 47.466 39.7187 226.757 0.0990105 647.647
1 Model_1_goa_pop_2023.dat 2025 37.7384 45.1003 37.7384 216.543 0.0990105 614.337
1 Model_1_goa_pop_2023.dat 2026 35.7998 42.7836 35.7998 206.865 0.0990105 583.915
1 Model_1_goa_pop_2023.dat 2027 33.9057 40.5199 33.9057 197.3 0.0990105 557.443
1 Model_1_goa_pop_2023.dat 2028 32.0971 38.3583 32.0971 187.539 0.0990105 537.034
1 Model_1_goa_pop_2023.dat 2029 30.4016 36.3326 30.4016 177.792 0.0990105 520.212
1 Model_1_goa_pop_2023.dat 2030 28.902 34.5421 28.902 168.539 0.0990105 507.454
1 Model_1_goa_pop_2023.dat 2031 27.6431 33.0404 27.6431 160.329 0.0990105 494.909
1 Model_1_goa_pop_2023.dat 2032 26.665 31.875 26.665 153.613 0.0990105 483.664
1 Model_1_goa_pop_2023.dat 2033 25.9303 31.0003 25.9303 148.7 0.0990105 472.711
1 Model_1_goa_pop_2023.dat 2034 25.385 30.3508 25.385 145.544 0.0990105 469.012
1 Model_1_goa_pop_2023.dat 2035 24.9571 29.8402 24.9571 143.66 0.0990105 469.276
1 Model_1_goa_pop_2023.dat 2036 24.6349 29.4547 24.6349 142.262 0.0990105 471.722
1 Model_1_goa_pop_2023.dat 2023 40.916 48.8962 30.3807 234.352 0.0727775 670.712
1 Model_1_goa_pop_2023.dat 2024 39.7195 47.467 39.7195 226.783 0.0990105 655.583
1 Model_1_goa_pop_2023.dat 2025 37.7559 45.1213 37.7559 216.645 0.0990105 630.751
1 Model_1_goa_pop_2023.dat 2026 35.8966 42.9002 35.8966 207.175 0.0990105 609.962
1 Model_1_goa_pop_2023.dat 2027 34.2048 40.8797 34.2048 198.1 0.0990105 594.087
1 Model_1_goa_pop_2023.dat 2028 32.7569 39.1517 32.7569 189.345 0.0990105 577.71
1 Model_1_goa_pop_2023.dat 2029 31.563 37.7278 31.563 181.446 0.0990105 564.026
1 Model_1_goa_pop_2023.dat 2030 30.6251 36.6099 30.6251 175.106 0.0990105 551.861
1 Model_1_goa_pop_2023.dat 2031 29.8767 35.7177 29.8767 170.648 0.0990105 540.605
1 Model_1_goa_pop_2023.dat 2032 29.2704 34.9941 29.2704 167.603 0.0990105 534.357
1 Model_1_goa_pop_2023.dat 2033 28.7469 34.3684 28.7469 165.118 0.0990105 532.635
1 Model_1_goa_pop_2023.dat 2034 28.3107 33.8467 28.3107 162.556 0.0990105 530.583
1 Model_1_goa_pop_2023.dat 2035 27.9887 33.4619 27.9887 159.843 0.0990105 529.987
1 Model_1_goa_pop_2023.dat 2036 27.8204 33.2615 27.8204 157.33 0.0990105 532.519
1 Model_1_goa_pop_2023.dat 2023 40.916 48.8962 30.3807 234.352 0.0727775 670.712
1 Model_1_goa_pop_2023.dat 2024 39.7188 47.4662 39.7188 226.761 0.0990105 648.795
1 Model_1_goa_pop_2023.dat 2025 37.7414 45.1038 37.7414 216.571 0.0990105 620.752
1 Model_1_goa_pop_2023.dat 2026 35.8227 42.8112 35.8227 206.961 0.0990105 595.912
1 Model_1_goa_pop_2023.dat 2027 33.9977 40.6306 33.9977 197.562 0.0990105 572.516
1 Model_1_goa_pop_2023.dat 2028 32.3361 38.6459 32.3361 188.162 0.0990105 554.786
1 Model_1_goa_pop_2023.dat 2029 30.8621 36.8861 30.8621 179.108 0.0990105 537.689
1 Model_1_goa_pop_2023.dat 2030 29.6164 35.3998 29.6164 171.023 0.0990105 524.917
1 Model_1_goa_pop_2023.dat 2031 28.5827 34.1669 28.5827 164.457 0.0990105 513.796
1 Model_1_goa_pop_2023.dat 2032 27.7559 33.1811 27.7559 159.508 0.0990105 504.042
1 Model_1_goa_pop_2023.dat 2033 27.0941 32.3918 27.0941 155.809 0.0990105 492.625
1 Model_1_goa_pop_2023.dat 2034 26.5685 31.7645 26.5685 152.782 0.0990105 484.038
1 Model_1_goa_pop_2023.dat 2035 26.1259 31.2356 26.1259 150.081 0.0990105 474.945
1 Model_1_goa_pop_2023.dat 2036 25.7347 30.7674 25.7347 147.588 0.0990105 465.862
1 Model_1_goa_pop_2023.dat 2023 40.916 48.8962 30.3807 234.352 0.0727775 670.712
1 Model_1_goa_pop_2023.dat 2024 39.7188 47.4661 39.7188 226.76 0.0990105 648.682
1 Model_1_goa_pop_2023.dat 2025 37.7406 45.1028 37.7406 216.552 0.0990105 615.027
1 Model_1_goa_pop_2023.dat 2026 35.8093 42.7951 35.8093 206.89 0.0990105 585.143
1 Model_1_goa_pop_2023.dat 2027 33.9285 40.5474 33.9285 197.348 0.0990105 555.94
1 Model_1_goa_pop_2023.dat 2028 32.1312 38.3993 32.1312 187.61 0.0990105 528.758
1 Model_1_goa_pop_2023.dat 2029 30.4179 36.352 30.4179 177.861 0.0990105 506.279
1 Model_1_goa_pop_2023.dat 2030 28.8272 34.4517 28.8272 168.482 0.0990105 485.528
1 Model_1_goa_pop_2023.dat 2031 27.3678 32.7088 27.3678 159.84 0.0990105 467.377
1 Model_1_goa_pop_2023.dat 2032 26.0743 31.1646 26.0743 152.122 0.0990105 456.149
1 Model_1_goa_pop_2023.dat 2033 24.9504 29.8234 24.9504 145.43 0.0990105 446.345
1 Model_1_goa_pop_2023.dat 2034 24.0283 28.7234 24.0283 139.775 0.0990105 438.45
1 Model_1_goa_pop_2023.dat 2035 22.9375 27.2926 22.9375 135.236 0.0973337 433.375
1 Model_1_goa_pop_2023.dat 2036 21.9249 26.0983 21.9249 131.962 0.0948515 429.097
1 Model_1_goa_pop_2023.dat 2023 40.916 48.8962 30.3807 234.352 0.0727775 670.712
1 Model_1_goa_pop_2023.dat 2024 39.7187 47.4661 39.7187 226.759 0.0990105 648.349
1 Model_1_goa_pop_2023.dat 2025 37.7402 45.1024 37.7402 216.558 0.0990105 617.725
1 Model_1_goa_pop_2023.dat 2026 35.8123 42.7986 35.8123 206.907 0.0990105 586.874
1 Model_1_goa_pop_2023.dat 2027 33.9482 40.571 33.9482 197.396 0.0990105 557.732
1 Model_1_goa_pop_2023.dat 2028 32.1825 38.461 32.1825 187.739 0.0990105 535.543
1 Model_1_goa_pop_2023.dat 2029 30.5145 36.4681 30.5145 178.158 0.0990105 517.291
1 Model_1_goa_pop_2023.dat 2030 28.9985 34.6574 28.9985 169.117 0.0990105 505.521
1 Model_1_goa_pop_2023.dat 2031 27.6765 33.0795 27.6765 161.062 0.0990105 499.147
1 Model_1_goa_pop_2023.dat 2032 26.6271 31.8283 26.6271 154.235 0.0990105 496.412
1 Model_1_goa_pop_2023.dat 2033 25.8871 30.9479 25.8871 148.838 0.0990105 494.547
1 Model_1_goa_pop_2023.dat 2034 25.4782 30.4634 25.4782 145.154 0.0990105 492.491
1 Model_1_goa_pop_2023.dat 2035 25.3521 30.3163 25.3521 143.488 0.0990105 490.075
1 Model_1_goa_pop_2023.dat 2036 25.4292 30.4104 25.4292 143.691 0.0990105 491.73
1 Model_1_goa_pop_2023.dat 2023 40.916 48.8962 30.3807 234.352 0.0727775 670.712
1 Model_1_goa_pop_2023.dat 2024 39.7187 47.466 39.7187 226.758 0.0990105 647.892
1 Model_1_goa_pop_2023.dat 2025 37.7392 45.1011 37.7392 216.552 0.0990105 616.53
1 Model_1_goa_pop_2023.dat 2026 35.8062 42.7913 35.8062 206.886 0.0990105 585.112
1 Model_1_goa_pop_2023.dat 2027 33.93 40.5491 33.93 197.388 0.0990105 569.103
1 Model_1_goa_pop_2023.dat 2028 32.1678 38.4434 32.1678 187.777 0.0990105 555.422
1 Model_1_goa_pop_2023.dat 2029 30.5914 36.5609 30.5914 178.38 0.0990105 548.339
1 Model_1_goa_pop_2023.dat 2030 29.3318 35.0588 29.3318 169.842 0.0990105 546.768
