record_type,join_key,species_key,sex_key,t_table,cruise,permit,vessel,gear,nmfs_area,latdd_start,londd_start,latdd_end,londd_end,length_seq,performance,fishing_depth_fathoms,bottom_depth_fathoms,length,weight,species,sex,haul_offload_date,haul_offload,specimen_number,age,maturity_code,maturity_description,specimen_type,specimen_type_description,haul_join,port_join,year,viability,injury,special_project_code,sample_system,akfin_load_date,gear_description,gear_performance_description,akr_gear,fmp_gear,fmp_area,fmp_subarea,species_name,akr_species_code,deployment_trip_pk,deployment_trip_start_date,deployment_trip_end_date,sampling_strata,sampling_strata_name,sampling_strata_deployment_category,sampling_strata_selection_rate,monitoring_status,landing_report_id,akfin_vdate,gear_type,haul_seq
HAUL,22794004093e9,301,M,ATL_HAUL,22794,4093,A264,1,620,55.15333,-156.91167,55.23833,-156.685,6070,1,100,100,35,0.51,301,M,2018-06-16T00:00:00Z,331,33103,NA,NA,NA,3,Length-Weight Sample,22794004093e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,741531,2018-06-13T00:00:00Z,2018-06-23T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,688
HAUL,22794004093e9,301,M,ATL_HAUL,22794,4093,A264,1,620,55.15333,-156.91167,55.23833,-156.685,6070,1,100,100,35,NA,301,M,2018-06-16T00:00:00Z,331,33103,NA,NA,NA,1,Otoliths,22794004093e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,741531,2018-06-13T00:00:00Z,2018-06-23T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,688
HAUL,22794004093e9,301,M,ATL_HAUL,22794,4093,A264,1,620,55.15333,-156.91167,55.23833,-156.685,6071,1,100,100,36,0.62,301,M,2018-06-16T00:00:00Z,331,33102,NA,NA,NA,3,Length-Weight Sample,22794004093e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,741531,2018-06-13T00:00:00Z,2018-06-23T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,688
HAUL,22794004093e9,301,M,ATL_HAUL,22794,4093,A264,1,620,55.15333,-156.91167,55.23833,-156.685,6071,1,100,100,36,NA,301,M,2018-06-16T00:00:00Z,331,33102,10,NA,NA,1,Otoliths,22794004093e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,741531,2018-06-13T00:00:00Z,2018-06-23T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,688
HAUL,22794004093e9,301,F,ATL_HAUL,22794,4093,A264,1,620,55.15333,-156.91167,55.23833,-156.685,6075,1,100,100,39,0.73,301,F,2018-06-16T00:00:00Z,331,33101,NA,NA,NA,3,Length-Weight Sample,22794004093e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,741531,2018-06-13T00:00:00Z,2018-06-23T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,688
HAUL,22794004093e9,301,F,ATL_HAUL,22794,4093,A264,1,620,55.15333,-156.91167,55.23833,-156.685,6075,1,100,100,39,NA,301,F,2018-06-16T00:00:00Z,331,33101,19,NA,NA,1,Otoliths,22794004093e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,741531,2018-06-13T00:00:00Z,2018-06-23T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,688
HAUL,22654000435e9,301,F,ATL_HAUL,22654,435,A015,2,630,57.62861,-149.62861,57.90028,-149.79472,1565,1,118,120,37,0.6,301,F,2018-05-09T00:00:00Z,40,13,NA,NA,NA,3,Length-Weight Sample,22654000435e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,PELAGIC,NO PROBLEM,PTR,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,731674,2018-05-08T00:00:00Z,2018-05-09T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,2,254
HAUL,22654000435e9,301,F,ATL_HAUL,22654,435,A015,2,630,57.62861,-149.62861,57.90028,-149.79472,1565,1,118,120,37,NA,301,F,2018-05-09T00:00:00Z,40,13,17,NA,NA,1,Otoliths,22654000435e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,PELAGIC,NO PROBLEM,PTR,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,731674,2018-05-08T00:00:00Z,2018-05-09T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,2,254
HAUL,22654000435e9,301,F,ATL_HAUL,22654,435,A015,2,630,57.62861,-149.62861,57.90028,-149.79472,1567,1,118,120,39,0.8,301,F,2018-05-09T00:00:00Z,40,12,NA,NA,NA,3,Length-Weight Sample,22654000435e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,PELAGIC,NO PROBLEM,PTR,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,731674,2018-05-08T00:00:00Z,2018-05-09T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,2,254
HAUL,22654000435e9,301,F,ATL_HAUL,22654,435,A015,2,630,57.62861,-149.62861,57.90028,-149.79472,1567,1,118,120,39,NA,301,F,2018-05-09T00:00:00Z,40,12,NA,NA,NA,1,Otoliths,22654000435e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,PELAGIC,NO PROBLEM,PTR,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,731674,2018-05-08T00:00:00Z,2018-05-09T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,2,254
