record_type,join_key,species_key,sex_key,t_table,cruise,permit,haul_seq,haul_join,vessel,haul_date,haul,sex,species,species_name,sample_type,sample_number,sample_size,sample_weight,extrapolated_weight,extrapolated_number,percent_retained,year,date_of_entry,akfin_load_date,akr_species_code,gear_modifier_description,akfin_vdate,fmp_subarea,gear_type
HAUL,j22794004093000000688,301,U,ATL,22794,4093,688,22794004093000000688,A264,2018-06-16T00:00:00Z,331,NA,301,PACIFIC OCEAN PERCH,B,578,401,385.31,39460.64,59195,100,2018,2018-06-16T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22654000435000000254,301,U,ATL,22654,435,254,22654000435000000254,A015,2018-05-09T00:00:00Z,40,NA,301,PACIFIC OCEAN PERCH,B,253,206,206.4,45360,55601,100,2018,2023-02-27T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,2
HAUL,j22794004093000000954,301,U,ATL,22794,4093,954,22794004093000000954,A264,2018-07-18T00:00:00Z,463,NA,301,PACIFIC OCEAN PERCH,B,520,335,315.34,21286.55,35102,100,2018,2018-07-18T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,WG,1
HAUL,j22713002800000003642,301,U,ATL,22713,2800,3642,22713002800000003642,A066,2018-07-14T00:00:00Z,618,NA,301,PACIFIC OCEAN PERCH,B,43,255,16.45,927.75,2425,100,2018,2022-06-30T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22810003819000000998,301,U,ATL,22810,3819,998,22810003819000000998,A117,2018-07-31T00:00:00Z,490,NA,301,PACIFIC OCEAN PERCH,B,30,293,18.83,986.02,1571,100,2018,2018-07-31T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22710002861000000252,301,U,ATL,22710,2861,252,22710002861000000252,A319,2018-06-05T00:00:00Z,65,NA,301,PACIFIC OCEAN PERCH,B,196,172,121.7,5563.55,8960,100,2018,2018-06-05T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j23069001235000000512,301,U,ATL,23069,1235,512,23069001235000000512,A326,2018-11-03T00:00:00Z,118,NA,301,PACIFIC OCEAN PERCH,B,1,223,1.15,15.08,13,100,2018,2018-11-03T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22810003819000000870,301,U,ATL,22810,3819,870,22810003819000000870,A117,2018-07-15T00:00:00Z,427,NA,301,PACIFIC OCEAN PERCH,B,570,453,335.34,14055.38,23891,100,2018,2018-07-15T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,WG,1
HAUL,j22810003819000000980,301,U,ATL,22810,3819,980,22810003819000000980,A117,2018-07-29T00:00:00Z,481,NA,301,PACIFIC OCEAN PERCH,B,501,371,301.4,17123.74,28464,100,2018,2018-07-29T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22649001043000000074,301,U,ATL,22649,1043,74,22649001043000000074,A131,2018-05-06T00:00:00Z,71,NA,301,PACIFIC OCEAN PERCH,B,114,67,63.2,14943.1,26954,100,2018,2018-05-06T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22710002861000000246,301,U,ATL,22710,2861,246,22710002861000000246,A319,2018-06-05T00:00:00Z,62,NA,301,PACIFIC OCEAN PERCH,B,11,255,8.09,474.62,645,100,2018,2018-06-05T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22964031729000000130,301,U,ATL,22964,31729,130,22964031729000000130,75998,2018-10-23T00:00:00Z,7,NA,301,PACIFIC OCEAN PERCH,B,8,141,4.2,430.83,821,80,2018,2018-10-23T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,2
HAUL,j22797003819000001064,301,U,ATL,22797,3819,1064,22797003819000001064,A117,2018-08-19T00:00:00Z,523,NA,301,PACIFIC OCEAN PERCH,B,973,718,643.35,43406.57,65648,100,2018,2018-08-19T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22824001879000003854,301,U,ATL,22824,1879,3854,22824001879000003854,A032,2018-07-25T00:00:00Z,587,NA,301,PACIFIC OCEAN PERCH,B,369,338,185.12,12951.6,25816,100,2018,2018-07-25T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
